GEOGRAPHICAL_BOROUGH_NAME,NEW_BOROUGH_GROUPING,RAM,CONSOLIDATED_NAME,CONSOLIDATED_TDS_NUM,DEVELOPMENT_NAME,TDS_NUM,ADDRESS_LINE_1,BUILDING_NUM,LOCATION,LOCATION_TYPE,OWNERGROUP,SOURCESYSID,CALL_CENTER_TYPE,PARENT,WONUM,TRADE_TYPE,CRAFT_DESCRIPTION,FAILURECODE,PROBLEMCODE,WOPRIORITY,REPORTDATE,ZZCREATEDATE,SCHEDSTART,TARGSTARTDATE,ACTSTART,ACTFINISH,STATUS,STATUSDATE,DISPOSITION_DESC,DISPOSITION_SUB_DESC,WORK_DONE_DESC,ZZSUBWORKTYPE,CAUSE,REMEDY,ZZRESCODE,LAST_LABTRANS_TRANSTYPE,TOTAL_REPAIRS_DONE,REPAIRS_DONE_LIST,VANDALISM_CODE,ZZCOURTORDER,ZZRRPWORKREQUIRED,ZZRRPWORKAMOUNT,DESCRIPTION,Days to Complete Or Still Open,TDS,BUILDING,STAIRHALL,ROOM
Manhattan,NGO1,TURNER,Jefferson,64,335 EAST 111TH STREET,203,335 EAST 111TH STREET,,203,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,67625968,67625968,MAINTENANCE,Maintenance,COMPACTOR,RAMLIMITSWITCHOOO,3,2019-07-03,2019-07-03,,,2019-07-15,2019-07-15,CLOSE,2019-07-16,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,11.917847,203,,,
Brooklyn,Mixed Finance,HIPPS,Marlboro,83,MARLBORO,83,30 AVENUE V,02,083.02,BUILDING,DEV083,MAXIMO,Non-CCC,68015695,68080049,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-06,2019-08-06,,,2019-08-06,2019-08-06,CLOSE,2019-08-06,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.017603999999999998,083,02,,
Brooklyn,Brooklyn,MIDDLETON,Albany,31,ALBANY II,85,1400 BERGEN STREET,,085,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,69377511,69377511,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-10-04,2019-10-04,,,2019-10-17,2019-10-17,CLOSE,2019-10-17,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,compactor ooo,12.934258999999999,085,,,
Manhattan,Manhattan,SUGGS,Fort Washington Ave Rehab,309,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,501 WEST 176TH STREET,,293,DEVELOPMENT,DEV309,MOBILE,Non-CCC,68082594,68082594,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-08-06,2019-08-06,,,2019-08-07,2019-08-07,CLOSE,2019-08-07,CLOSED,Condition not Founded,Work Not Done,BUILDING,,,,UNFOUNDED,,,0,0,,,99 fort Washington,0.935845,293,,,
Manhattan,Manhattan,MOLINA,Carver,58,CARVER,58,55 EAST 99TH STREET,02,058.02,BUILDING,DEV058,MAXIMO,Non-CCC,68018485,68062370,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-05,2019-08-05,,,2019-08-06,2019-08-06,CLOSE,2019-08-06,CLOSED,Completed on Arrival,Work Not Done,,,,,COMPLETEONARRIVAL,,,0,0,,,Are interior compactors in good working order? oil leaking,0.8775229999999999,058,02,,
Manhattan,Mixed Finance,DINGLE,Amsterdam,22,AMSTERDAM,22,229 WEST 62ND STREET,08,022.08,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73337249,73337249,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,KEYSWITCHOOO,3,2020-04-03,2020-04-03,,,2020-04-11,2020-04-11,CLOSE,2020-04-13,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,POWERRESTORED;COMPACTORREPAIRED,0,0,,,Exterior #1 manual switch is broken (back n forth swich) control panel still works,7.910104,022,08,,
Queens,Queens-Staten Island,FALU,Hammel,75,HAMMEL,75,85-02 ROCKAWAY BEACH BOULEVARD,,075,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,65130488,65130488,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,MACHOILLEAK,3,2019-01-14,2019-01-14,,,2019-01-22,2019-01-22,CLOSE,2019-01-24,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,EXTERIORCOMPACTOR - MAINT,8.456053,075,,,
Brooklyn,Brooklyn,IEZZA,Carey Gardens,166,CONEY ISLAND I (SITE 1B),239,2007 SURF AVENUE,,239,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,73363881,73363881,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-04-08,2020-04-08,,,2020-04-13,2020-04-13,CLOSE,2020-04-14,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,3.0,REFLECTORREPAIRED;ELECPHOTOCELLREPAIRED;REFLECTORCLEANED,0,0,,,COMPACTOR - MAINT,5.152882,239,,,
Bronx,Mixed Finance,DINGLE,Saint Mary's Park,93,SAINT MARY'S PARK,93,550 CAULDWELL AVENUE,01,093.01,BUILDING,TSDWASTE,MOBILE,Non-CCC,68460404,68460404,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,NOISY,3,2019-08-25,2019-08-25,,,2019-09-03,2019-09-03,CLOSE,2019-09-04,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,motor ooo on exterior compactor #1,8.744653,093,01,,
Manhattan,NGO1,TURNER,East River,9,EAST RIVER,9,425GAR EAST 102ND STREET,11,009.11,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65691470,65691470,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,DOORNOTSECURED,3,2019-02-26,2019-02-26,,,2019-02-27,2019-02-27,CLOSE,2019-02-27,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,E-Z PAC #1 DOOR WAS BROKEN OFF AND LEFT BY SANITATION,1.011782,009,11,,
Brooklyn,Brooklyn,HALL,Kingsborough,10,KINGSBOROUGH,10,154 KINGSBOROUGH 1ST WALK,01,010.01,BUILDING,DEV010,MAXIMO,Non-CCC,68015224,68031756,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2019-08-01,2019-08-01,,,2019-08-07,2019-08-07,CLOSE,2019-08-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CONCRETEPATCHED,0,0,,,Are compactor rooms clean and in good condition?,5.684514,010,01,,
Manhattan,Manhattan,ALLEN,Baruch,60,BARUCH,60,288 DELANCEY STREET,13,060.13,BUILDING,TSDWASTE,MAXIMO,Non-CCC,70222846,70222846,MAINTENANCE,Maintenance,COMPACTOR,RAMNOTPUSHING,3,2019-11-19,2019-11-19,,,2019-12-02,2019-12-02,CLOSE,2019-12-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,13.162407,060,13,,
Brooklyn,Brooklyn,TAYLOR,Ingersoll,14,INGERSOLL,14,102 MONUMENT WALK,,014,DEVELOPMENT,BKELEC,MOBILE,CCC,69073281,69230480,SKILLED TRADES,Electrician,COMPACTOR,NOPOWER,3,2019-09-26,2019-09-26,2019-11-06,2019-11-06,2019-11-06,2019-11-06,CLOSE,2019-11-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,electric,41.061424,014,,,
Brooklyn,Brooklyn,MAYNARD,Roosevelt,135,ROOSEVELT II,177,50 STUYVESANT AVENUE,09,177.09,BUILDING,DEV135,MAXIMO,Non-CCC,69967877,69981106,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-11-01,2019-11-01,,,,,CLOSE,2019-11-06,CLOSED,Resolved Through Triage,Work Not Done,,,,RESLVDTHRUTRIAGE,,,,0,0,,,Are interior compactors in good working order? rat infestation - hoppers closed,4.78066,177,09,,
Bronx,Mixed Finance,WALTON,Marble Hill,49,MARBLE HILL,49,5480 BROADWAY,07,049.07,BUILDING,TSDWASTE,MAXIMO,Non-CCC,67372704,67372704,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,SAFETYDEVICESOOO,3,2019-06-27,2019-06-27,,,2019-07-01,2019-07-01,CLOSE,2019-07-02,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,ram limit chain DML interior compactor,3.913032,049,07,,
Brooklyn,Brooklyn,HALL,Red Hook West,79,RED HOOK WEST,79,80 DWIGHT STREET,01,079.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,69147948,69147948,MAINTENANCE,Maintenance,COMPACTOR,HOSEOILLEAK,3,2019-09-22,2019-09-22,,,2019-10-03,2019-10-03,CLOSE,2019-10-05,CLOSED,Closed,Work Done,H&S,NORMALWEAR,REMEDY,,WORK,2.0,HYDROLICFLUIDREPLACED;HYDROLICHOSEREPLACED,0,0,,,COMPACTOR - MAINT,10.815729,079,01,,
Manhattan,Manhattan,ALLEN,Baruch,60,BARUCH,60,64 BARUCH DRIVE,05,060.05,BUILDING,TSDWASTE,MAXIMO,Non-CCC,71347550,71347550,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-11-29,2019-11-29,,,2019-12-02,2019-12-02,CLOSE,2019-12-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,3.212639,060,05,,
Manhattan,Mixed Finance,DINGLE,Amsterdam,22,AMSTERDAM,22,40 AMSTERDAM AVENUE,,022,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,73427451,73427451,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMNOTPUSHING,3,2020-04-16,2020-04-16,,,2020-04-17,2020-04-17,CLOSE,2020-04-18,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,exterior compactor moving slow and stops moving,0.927731,022,,,
Brooklyn,Brooklyn,MAYNARD,Cooper Park,69,COOPER PARK,69,417 MORGAN AVENUE,07,069.07,BUILDING,DEV069,MAXIMO,Non-CCC,69967748,70043552,SKILLED TRADES,Vendor,COMPACTOR,NEEDSCLEANING,3,2019-11-06,2019-11-06,,,2019-11-19,2019-11-19,CLOSE,2019-12-24,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,N,,Are interior compactors in good working order?,12.853542,069,07,,
Bronx,Bronx,BETHEA,1010 EAST 178TH STREET,180,EAST 180TH STREET-MONTEREY AVENUE,208,2111 LAFONTAINE AVENUE,,208,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,65454399,65454399,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,HOSEOILLEAK,3,2019-02-06,2019-02-06,,,2019-02-06,2019-02-06,CLOSE,2019-02-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,HOSEREPLCED,0,0,,,broken hose EXTERIOR COMPACTOR - MAINT,0.44564799999999993,208,,,
Bronx,Bronx,TOLOZANO,Soundview,71,SOUNDVIEW,71,1711 LACOMBE AVENUE,12,071.12,BUILDING,DEV071,MAXIMO,Non-CCC,68589482,68756267,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-05,2019-09-05,,,2019-09-06,2019-09-06,CLOSE,2019-09-12,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Staff cleans compactor daily,1.0165629999999999,071,12,,
Bronx,Bronx,TOLOZANO,Throggs Neck,63,THROGGS NECK ADDITION,193,2745 SCHLEY AVENUE,31,193.31,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72913912,72913912,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-03-11,2020-03-11,,,2020-03-12,2020-03-12,CLOSE,2020-03-13,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,1.186065,193,31,,
Brooklyn,NGO1,KORBUL,Howard,72,HOWARD,72,260 MOTHER GASTON BOULEVARD,10,072.10,BUILDING,DEV072,MOBILE,Non-CCC,73064296,73298277,SKILLED TRADES,Vendor,COMPACTOR,COMPACTOROOO,3,2020-03-31,2020-03-31,,,2020-04-17,2020-04-17,CLOSE,2020-04-17,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,N,,entrance door,17.090313000000002,072,10,,
Bronx,Bronx,BETHEA,Eastchester Gardens,34,EASTCHESTER GARDENS,34,3055 BOUCK AVENUE,06,034.06,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72266050,72266050,MAINTENANCE,Maintenance,COMPACTOR,NOAUTO,3,2020-01-29,2020-01-29,,,2020-01-30,2020-01-30,CLOSE,2020-01-31,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2.0,ELECPHOTOCELLREPAIRED;REFLECTORCLEANED,0,0,,,COMPACTOR - MAINT,1.264271,034,06,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,225 EAST 99TH STREET,05,062.05,BUILDING,DEV062,MAXIMO,Non-CCC,72341492,72441665,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-08,2020-02-08,,,2020-02-10,2020-02-10,CLOSE,2020-02-10,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,1.898669,062,05,,
Brooklyn,NGO1,KORBUL,Tilden,96,TILDEN,96,300 DUMONT AVENUE,,096,DEVELOPMENT,DEV096,MAXIMO,Non-CCC,72546293,72546293,SKILLED TRADES,Vendor,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2020-02-15,2020-02-15,,,2020-02-18,2020-02-18,CLOSE,2020-03-08,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,FOOTINGREPAIRED,0,0,N,,Generic Vendor Work Plan,3.161053,096,,,
Bronx,Bronx,BETHEA,Eastchester Gardens,34,EASTCHESTER GARDENS,34,1134 BURKE AVENUE,01,034.01,BUILDING,TSDWASTE,MAXIMO,Non-CCC,70181309,70181309,MAINTENANCE,Maintenance,COMPACTOR,FULLBAGSWITCHOOO,3,2019-11-15,2019-11-15,,,2019-11-19,2019-11-19,CLOSE,2019-11-19,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,3.0,LASTB	AGSWITCHREPAIRED;ELECPHOTOCELLREPAIRED;ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,3.7742709999999997,034,01,,
Manhattan,Manhattan,SUGGS,Clinton,123,CLINTON,123,1505 PARK AVENUE,01,123.01,BUILDING,DEV123,MAXIMO,Non-CCC,68597612,68821002,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-06,2019-09-06,,,2019-09-06,2019-09-06,CLOSE,2019-09-09,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.062025,123,01,,
Queens,Queens-Staten Island,CORIOLAN,Ravenswood,48,RAVENSWOOD,48,35-20 24TH STREET,13,048.13,BUILDING,DEV048,MAXIMO,Non-CCC,70278862,70278862,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-11-22,2019-11-22,,,2019-12-05,2019-12-05,CLOSE,2019-12-05,CLOSED,Closed,Work Done,AWS-SCAT,NORMALWEAR,REMEDY,,WORK,1.0,HOPPERDOORREPAIRED,0,0,,,COmpactor room not secure,12.946157000000001,048,13,,
Brooklyn,Mixed Finance,HIPPS,Marlboro,83,MARLBORO,83,30 AVENUE V,02,083.02,BUILDING,DEV083,MAXIMO,Non-CCC,68015695,68445893,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-23,2019-08-23,,,2019-08-26,2019-08-26,CLOSE,2019-08-26,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,HYDROLICCYLINDERREPLACED,0,0,,,Are interior compactors in good working order?,2.9958560000000003,083,02,,
Brooklyn,Mixed Finance,HIPPS,Marlboro,83,MARLBORO,83,30 AVENUE V,02,083.02,BUILDING,DEV083,MAXIMO,Non-CCC,68015695,68092769,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-07,2019-08-07,,,2019-08-13,2019-08-13,CLOSE,2019-08-14,CLOSED,Closed,Work Done,,RESIDENTCAUSED,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order? AWAITING CYLINDER,5.998137,083,02,,
Manhattan,Mixed Finance,HIPPS,Chelsea,134,CHELSEA,134,425 WEST 25TH STREET,,134,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,65946154,65946154,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-03-20,2019-03-20,,,2019-03-23,2019-03-23,CLOSE,2019-03-23,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,compactor need welder,3.110058,134,,,
Bronx,NGO1,MCMILLAN,Mott Haven,121,MOTT HAVEN,121,383 EAST 141ST STREET,02,121.02,BUILDING,TSDWASTE,MAXIMO,Non-CCC,73627024,73627024,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-05-07,2020-05-07,,,2020-05-11,2020-05-11,CLOSE,2020-05-11,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,4.0,REFLECTORCLEANED;ELECPHOTOCELLREPAIRED;ELECTRICITYRESTORED;HYDROLICFLUIDREPLACED,0,0,,,COMPACTOR - MAINT,4.321389,121,02,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,230 EAST 102ND STREET,10,062.10,BUILDING,ESD,MAXIMO,Non-CCC,73324736,73324736,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-04-02,2020-04-02,,,2020-04-02,2020-04-02,CLOSE,2020-04-02,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,MWK BOURSIQUOT REPORTS THAT COMPACTOR SEARCH NEGATIVE  PO GOMEZ # 26554 FROM PSA # 5,0.050162,062,10,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,1420 AMSTERDAM AVENUE,03,081.03,BUILDING,TSDWASTE,MAXIMO,Non-CCC,71730664,71730664,MAINTENANCE,Maintenance,COMPACTOR,MACHOILLEAK,3,2019-12-25,2019-12-25,,,2020-01-03,2020-01-03,CLOSE,2020-01-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,8.881886999999999,081,03,,
Brooklyn,Mixed Finance,HIPPS,Linden,95,LINDEN,95,630 STANLEY AVENUE,03,095.03,BUILDING,DEV095,MAXIMO,Non-CCC,68014822,68266816,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-16,2019-08-16,,,2019-09-10,2019-09-10,CLOSE,2019-09-10,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,Are interior compactors in good working order? COMPACTOR O/O/O,24.917431,095,03,,
Queens,Queens-Staten Island,CORIOLAN,Astoria,26,ASTORIA,26,4-03 ASTORIA BOULEVARD,05,026.05,BUILDING,DEV026,MAXIMO,Non-CCC,66924737,66924737,SKILLED TRADES,Vendor,EXTERIORCOMPACTOR,CONTAINERFRONTROLLER,3,2019-05-23,2019-05-23,,,2019-05-30,2019-05-30,CLOSE,2019-05-30,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,N,,containters,6.8998729999999995,026,05,,
Bronx,Bronx,TOLOZANO,Pelham Parkway,39,PELHAM PARKWAY,39,2460 BRONXWOOD AVENUE,03,039.03,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65886573,65886573,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2019-03-14,2019-03-14,,,2019-03-18,2019-03-18,CLOSE,2019-03-19,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,Hydraulic arms do not go up or down,3.874097,039,03,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1905 2ND AVENUE,04,062.04,BUILDING,DEV062,MAXIMO,Non-CCC,72341492,72573997,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-02-18,2020-02-18,,,2020-02-21,2020-02-21,CLOSE,2020-02-22,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,3.047164,062,04,,
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1955 2ND AVENUE,06,062.06,BUILDING,DEV062,MAXIMO,Non-CCC,71907977,72225789,SKILLED TRADES,Caretaker,COMPACTOR,FOLLOWUP,6,2020-01-26,2020-01-26,,,2020-01-27,2020-01-27,CLOSE,2020-01-27,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are compactor rooms clean and in good condition?,0.96088,062,06,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,1430 AMSTERDAM AVENUE,04,081.04,BUILDING,DEV081,MAXIMO,Non-CCC,69323263,69534670,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-10-16,2019-10-16,,,2019-10-24,2019-10-24,CLOSE,2019-10-24,CLOSED,Completed on Arrival,Work Not Done,,,,,COMPLETEONARRIVAL,,,0,0,,,Are compactor rooms clean and in good condition? needs cleaning,7.625300999999999,081,04,,
Brooklyn,Brooklyn,MAYNARD,Cooper Park,69,COOPER PARK,69,275 JACKSON STREET,01,069.01,BUILDING,DEV069,MAXIMO,Non-CCC,68016191,68031401,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-01,2019-08-01,,,2019-08-02,2019-08-02,CLOSE,2019-09-03,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,MACHINECLEANED,0,0,,,Are interior compactors in good working order?,0.6611229999999999,069,01,,
Manhattan,NGO1,TURNER,Lincoln,20,LINCOLN,20,2175 5TH AVENUE,12,020.12,BUILDING,DEV020,MAXIMO,Non-CCC,70076009,70076009,SKILLED TRADES,Vendor,EXTERIORCOMPACTOR,EXTCOMPACTOROOO,3,2019-11-08,2019-11-08,,,2019-11-11,2019-11-11,CLOSE,2019-11-29,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,2.0,FITTINGTIGHTENED;HOSEREPAIRED,0,0,N,,exterior,3.0148029999999997,020,12,,
Brooklyn,Brooklyn,TAYLOR,Marcy,21,MARCY,21,622 PARK AVENUE,20,021.20,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72247209,72247209,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-01-28,2020-01-28,,,2020-02-01,2020-02-01,CLOSE,2020-02-01,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,3.0,REFLECTORREPLACED;HYDROLICFLUIDREPLACED;HYDROLICHOSEREPLACED,0,0,,,COMPACTOR - MAINT,4.091019,021,20,,
Bronx,Bronx,BETHEA,Morrisania Air Rights,267,JACKSON,120,3080 PARK AVENUE,,120,DEVELOPMENT,TSDCENT,MOBILE,Non-CCC,69045368,69045368,SKILLED TRADES,Electrician,COMPACTOR,NOPOWER,3,2019-09-17,2019-09-17,,,2020-02-04,2020-02-04,CLOSE,2020-02-04,CLOSED,Closed,Work Done,ELECTRIC,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,Electrical outlet,140.037072,120,,,
Manhattan,Mixed Finance,DINGLE,Manhattanville,81,MANHATTANVILLE,81,545 WEST 126TH STREET,01,081.01,BUILDING,DEV081,MAXIMO,Non-CCC,71382634,71524767,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-12-10,2019-12-10,2019-12-11,2019-12-11,2019-12-11,2019-12-11,CLOSE,2019-12-11,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are compactor rooms clean and in good condition?,0.980775,081,01,,
Manhattan,Manhattan,GADSON,Grant,87,GRANT,87,1315 AMSTERDAM AVENUE,06,087.06,BUILDING,TSDWASTE,MAXIMO,Non-CCC,65036451,65036451,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMDAMAGED,3,2019-01-08,2019-01-08,,,2019-01-17,2019-01-17,CLOSE,2019-01-17,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,CAPREPAIRED,0,0,,,EXTERIORCOMPACTOR - MAINT,9.072211,087,06,,
Brooklyn,NGO1,KORBUL,Brownsville,16,BROWNSVILLE,16,284 SUTTER AVENUE,,016,DEVELOPMENT,TSDWASTE,MAXIMO,Non-CCC,68116360,68334054,SKILLED TRADES,Welder,EXTERIORCOMPACTOR,EMRGSTOPSWITCHOOO,3,2019-08-20,2019-08-20,,,2019-08-28,2019-08-28,CLOSE,2019-08-29,CLOSED,Closed,Work Done,GROUNDS,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,EXT #3 NEEDS TABS,8.258414,016,,,
Brooklyn,Brooklyn,HALL,Gowanus,25,GOWANUS,25,244 BOND STREET,14,025.14,BUILDING,DEV025,MAXIMO,Non-CCC,68015828,68029160,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-01,2019-08-01,,,2019-08-02,2019-08-02,CLOSE,2019-08-23,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are interior compactors in good working order?,0.788148,025,14,,
Manhattan,Manhattan,ALLEN,Smith,27,SMITH,27,40 MADISON STREET,10,027.10,BUILDING,DEV027,MAXIMO,Non-CCC,68017516,68208953,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-14,2019-08-14,,,2019-08-15,2019-08-15,CLOSE,2019-08-15,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,REFLECTORCLEANED,0,0,,,Are interior compactors in good working order?,0.875,027,10,,
Manhattan,Manhattan,MOLINA,Douglass,82,DOUGLASS I,82,880 COLUMBUS AVENUE,PK,082.PK01,PARKING LOT,TSDWASTE,MAXIMO,Non-CCC,72076365,72076365,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RAMNOTMOVING,3,2020-01-14,2020-01-14,,,2020-01-23,2020-01-23,CLOSE,2020-01-24,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,KEYSWITCHREPAIRED,0,0,,,EXTERIOR COMPACTOR - MAINT,9.009606,082,PK01,,
