Consolidated Name,Consolidated TDS #,Development Name,TDS #,Method,Construction Date ,Age of the Building,# of Stories ,Building Coverage Square footage,Open Space Ratio (Calculated in GIS),Scattered Site Flag
Surfside Gardens,170,SURFSIDE GARDENS,170,CONVENTIONAL,6/30/69,51,14-15,"36,810",0.89,
Reid Apartments,167,SUTTER AVENUE-UNION STREET,369,TURNKEY,8/31/95,25,4-6,"21,424",0.46,YES
Taft,97,TAFT,97,CONVENTIONAL,12/31/62,58,19,"105,527",0.81,
Reid Apartments,167,TAPSCOTT STREET REHAB,354,TURNKEY,1/24/86,34,4,"37,312",0.45,YES
Taylor St - Wythe Ave,234,TAYLOR STREET-WYTHE AVENUE,234,TURNKEY,6/30/74,46,8-11-12-13,"57,205",0.69,
Claremont Consolidated,308,TELLER AVENUE-EAST 166TH STREET,223,TURNKEY,9/30/71,49,6,"12,354",0.57,YES
Wise Towers,127,THOMAS APARTMENTS,268,TURNKEY,8/31/94,26,11,"6,641",0.36,
Throggs Neck,63,THROGGS NECK,63,CONVENTIONAL,11/27/53,67,3-7,"228,989",0.85,
Throggs Neck,63,THROGGS NECK ADDITION,193,CONVENTIONAL,9/30/71,49,8-11,"39,315",0.87,
Tilden,96,TILDEN,96,CONVENTIONAL,6/30/61,59,16,"66,416",0.86,
Todt Hill,42,TODT HILL,42,CONVENTIONAL,6/1/50,70,6,"79,116",0.86,
Tompkins,131,TOMPKINS,131,CONVENTIONAL,7/31/64,56,8-16,"94,386",0.82,
1010 EAST 178TH STREET,180,TWIN PARKS EAST (SITE 9),287,CONVENTIONAL,4/30/82,38,14,"11,388",0.82,
La Guardia,76,TWO BRIDGES URA (SITE 7),266,TURNKEY,4/30/75,45,26,"13,314",0.53,
Union Avenue Consolidated,342,UNION AVENUE-EAST 163RD STREET,342,TURNKEY,3/11/85,35,9,"18,632",0.78,
Union Avenue Consolidated,342,UNION AVENUE-EAST 166TH STREET,356,TURNKEY,9/1/88,32,3,"38,943",0.63,
Unity Plaza,261,"UNITY PLAZA (SITES 17,24,25A)",240,TURNKEY,11/30/73,47,6,"27,159",0.68,
Unity Plaza,261,UNITY PLAZA (SITES 4-27),261,CONVENTIONAL,9/30/73,47,6,"89,543",0.65,
Kraus Management (BX 3),341,UNIVERSITY AVENUE REHAB,341,TURNKEY,1/31/85,35,6,"43,696",0.46,YES
Jackie Robinson,241,UPACA (SITE 5),343,TURNKEY,7/3/86,34,11,"14,325",0.78,
Jackie Robinson,241,UPACA (SITE 6),355,TURNKEY,11/30/87,33,12,"10,330",0.78,
Van Dyke I,61,VAN DYKE I,61,CONVENTIONAL,5/27/55,65,3-14,"161,168",0.81,
Woodson,182,VAN DYKE II,146,CONVENTIONAL,4/30/64,56,14,"9,017",0.83,
Penn-Wortman,194,VANDALIA AVENUE,315,TURNKEY,5/31/83,37,10,"33,868",0.79,
Vladeck Combined,6,VLADECK,6,CONVENTIONAL,11/25/40,80,6,"171,144",0.70,
Vladeck Combined,6,VLADECK II,7,CONVENTIONAL,10/25/40,80,6,"28,827",0.70,
Wagner,74,WAGNER,74,CONVENTIONAL,6/12/58,62,7-16,"150,639",0.86,
Wald,23,WALD,23,CONVENTIONAL,10/14/49,71,11-14,"133,117",0.79,
Washington,62,WASHINGTON,62,CONVENTIONAL,9/20/57,63,"2, 12-14","124,916",0.86,
Fort Washington Ave Rehab,309,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,CONVENTIONAL,5/1/88,32,5-6,"40,754",0.35,YES
Fort Washington Ave Rehab,309,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),523,TURNKEY,11/30/87,33,5,"18,156",0.30,YES
Harlem River,3,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),329,TURNKEY,11/30/87,33,5,"3,393",0.36,YES
Fort Washington Ave Rehab,309,WASHINGTON HEIGHTS REHAB PHASE IV (C),330,CONVENTIONAL,10/1/90,30,5,"6,012",0.37,YES
Fort Washington Ave Rehab,309,WASHINGTON HEIGHTS REHAB PHASE IV (D),331,CONVENTIONAL,7/1/90,30,5,"6,127",0.38,YES
Webster,141,WEBSTER,141,CONVENTIONAL,9/30/65,55,21,"31,247",0.83,
West Brighton,116,WEST BRIGHTON I,116,CONVENTIONAL,12/31/62,58,8,"65,839",0.79,
West Brighton,116,WEST BRIGHTON II,175,CONVENTIONAL,12/31/65,55,1,"67,228",0.62,
Building Management Associates (BX 1),530,WEST FARMS ROAD REHAB,360,TURNKEY,8/13/86,34,6,"34,935",0.37,YES
Building Management Associates (BX 1),530,WEST FARMS SQUARE CONVENTIONAL,526,CONVENTIONAL,6/30/94,26,5,"3,363",0.36,YES
Sedgwick,45,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,TURNKEY,7/31/73,47,12,"9,609",0.76,
Wilson,112,WHITE,124,CONVENTIONAL,9/30/64,56,20,"23,400",0.34,
Whitman,514,WHITMAN,514,CONVENTIONAL,2/24/44,76,6-13,"156,524",0.78,
Williamsburg,2,WILLIAMSBURG,2,CONVENTIONAL,4/10/38,82,4,"326,716",0.68,
Wilson,112,WILSON,112,CONVENTIONAL,6/30/61,59,20,"22,499",0.83,
Wise Towers,127,WISE TOWERS,127,CONVENTIONAL,1/31/65,55,19,"34,702",0.69,
Woodside,33,WOODSIDE,33,CONVENTIONAL,12/30/49,71,6,"186,009",0.82,
Woodson,182,WOODSON,182,CONVENTIONAL,8/31/70,50,10-25,"24,456",0.82,
Wise Towers,127,WSUR (BROWNSTONES),178,CONVENTIONAL,6/30/68,52,3-4-6,"41,422",0.39,YES
Wise Towers,127,WSUR (SITE A) 120 WEST 94TH STREET,151,CONVENTIONAL,9/30/65,55,9,"6,811",0.71,YES
Wise Towers,127,WSUR (SITE B) 74 WEST 92ND STREET,173,CONVENTIONAL,9/30/65,55,22,"13,176",0.45,YES
Wise Towers,127,WSUR (SITE C) 589 AMSTERDAM AVENUE,174,CONVENTIONAL,9/30/65,55,18,"7,891",0.70,YES
Wyckoff Gardens,163,WYCKOFF GARDENS,163,CONVENTIONAL,12/31/66,54,21,"31,158",0.88,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
